Date,Open,High,Low,Close,Volume,Adj Close
2017-05-10,27680,27690,27480,27480,578,27480
2017-05-09,27780,27780,27500,27510,633,27510
2017-05-08,27500,27680,27490,27490,289,27490
2017-05-02,27600,27750,27450,27500,292,27500
2017-05-01,27380,27580,27380,27410,152,27410
2017-04-28,27470,27500,27200,27370,175,27370
2017-04-27,27570,27570,27250,27470,119,27470
2017-04-26,27390,27710,27390,27570,335,27570
2017-04-25,27520,27520,27010,27490,80,27490
2017-04-24,27520,27780,27380,27390,85,27390
2017-04-21,27440,27720,27400,27530,437,27530
2017-04-20,27390,27440,27140,27360,132,27360
2017-04-19,27150,27210,27000,27210,415,27210
2017-04-18,27480,27480,27170,27240,188,27240
2017-04-17,27270,27350,27150,27330,84,27330
2017-04-14,27400,27690,27350,27360,241,27360
2017-04-13,27310,27800,27310,27580,411,27580
2017-04-12,27850,28060,27500,27530,596,27530
2017-04-11,28550,28550,28040,28160,203,28160
2017-04-10,28560,28770,28350,28550,544,28550
2017-04-07,28630,28750,28560,28580,298,28580
2017-04-06,28710,28820,28580,28630,390,28630
2017-04-05,28750,28890,28720,28730,441,28730
2017-04-04,29000,29000,28740,28830,234,28830
2017-04-03,29100,29120,28980,28980,118,28980
2017-03-31,28950,29090,28950,29080,119,29080
2017-03-30,29070,29100,28900,28940,147,28940
2017-03-29,29080,29170,29050,29170,172,29170
2017-03-28,29070,29280,29010,29100,166,29100
2017-03-27,29110,29280,28600,29100,307,29100
2017-03-24,29200,29350,29120,29350,100,29350
2017-03-23,29140,29590,29140,29340,169,29340
2017-03-22,29480,29500,29100,29290,253,29290
2017-03-21,29610,29610,29500,29580,62,29580
2017-03-17,29640,29640,29520,29610,171,29610
2017-03-16,29390,29600,29380,29500,360,29500
2017-03-15,29660,29660,29380,29490,235,29490
2017-03-14,29660,29680,29500,29600,119,29600
2017-03-13,29480,29650,29450,29630,221,29630
2017-03-10,29280,29660,29280,29660,872,29660
2017-03-09,29260,29300,29170,29270,126,29270
2017-03-08,29280,29280,29260,29260,63,29260
2017-03-07,29290,29290,29130,29140,51,29140
2017-03-06,29040,29270,29040,29270,95,29270
2017-03-03,29390,29390,29040,29040,346,29040
2017-03-02,29350,29490,29140,29240,363,29240
2017-03-01,29150,29330,29150,29310,105,29310
2017-02-28,29180,29250,29140,29140,170,29140
2017-02-27,29050,29300,29050,29300,286,29300
2017-02-24,29220,29220,29040,29220,137,29220
2017-02-23,29400,29400,29220,29220,134,29220
2017-02-22,29350,29390,29300,29370,266,29370
2017-02-21,29200,29350,29200,29290,298,29290
2017-02-20,29150,29370,29030,29110,467,29110
2017-02-17,29170,29220,29050,29050,419,29050
2017-02-16,29100,29300,29030,29300,513,29300
2017-02-15,28890,29250,28800,29030,1120,29030
2017-02-14,28200,28410,28200,28390,454,28390
2017-02-13,27780,28280,27400,28280,903,28280
2017-02-10,27310,27460,27220,27400,243,27400
2017-02-09,27050,27280,27050,27100,385,27100
2017-02-08,27360,27360,27000,27150,182,27150
2017-02-07,27060,27300,27000,27000,235,27000
2017-02-06,27400,27400,27220,27300,242,27300
2017-02-03,27230,27380,27200,27230,63,27230
2017-02-02,27100,27320,27100,27230,189,27230
2017-02-01,27320,27360,27100,27310,174,27310
2017-01-31,27500,27500,27200,27370,164,27370
2017-01-30,27700,27760,27470,27550,107,27550
2017-01-27,27470,27900,27470,27770,131,27770
2017-01-26,27560,27560,27400,27550,163,27550
2017-01-25,27400,27510,27300,27380,259,27380
2017-01-24,27030,27320,26950,27220,464,27220
2017-01-23,27680,27680,27400,27570,127,27570
2017-01-20,27500,27600,27410,27520,313,27520
2017-01-19,27500,27800,27500,27600,195,27600
2017-01-18,27430,27650,27200,27410,274,27410
2017-01-17,27840,28200,27390,27390,292,27390
2017-01-16,28000,28100,27820,27830,417,27830
2017-01-13,28150,28300,28150,28250,208,28250
2017-01-12,28450,28450,28230,28420,386,28420
2017-01-11,28700,28840,28360,28580,262,28580
2017-01-10,28780,28800,28550,28700,412,28700
2017-01-06,28600,28870,28600,28790,177,28790
2017-01-05,29000,29000,28560,28640,315,28640
2017-01-04,28810,29000,28520,28780,403,28780
2016-12-30,28680,28700,28500,28660,336,28660
2016-12-29,28770,28770,28500,28700,366,28700
2016-12-28,28530,28770,28420,28610,209,28610
